scenario,model,number_of_seeds,mAP50-95,mAP50,Precision,Recall,F1-score,FPS
ACDC in-domain,Faster R-CNN,2,0.4205 ± 0.0109,0.6042 ± 0.0111,—,—,—,16.15 ± 0.06
ACDC in-domain,YOLOv11s,3,0.2919 ± 0.0781,0.4693 ± 0.0966,0.6583 ± 0.1227,0.4219 ± 0.0749,0.5138 ± 0.0914,928.54 ± 477.34
ACDC → DAWN,Faster R-CNN,3,0.2589 ± 0.0038,0.3813 ± 0.0037,—,—,—,20.82 ± 0.51
ACDC → DAWN,YOLOv11s,3,0.1135 ± 0.0167,0.1877 ± 0.0194,0.4226 ± 0.0977,0.1659 ± 0.0247,0.2345 ± 0.0174,216.45 ± 86.88
DAWN in-domain,Faster R-CNN,3,0.4498 ± 0.0240,0.6978 ± 0.0295,—,—,—,20.24 ± 0.28
DAWN in-domain,YOLOv11s,2,0.3137 ± 0.0545,0.5302 ± 0.0311,0.6710 ± 0.0519,0.4306 ± 0.0699,0.5241 ± 0.0678,599.09 ± 536.67
DAWN → ACDC,Faster R-CNN,3,0.1555 ± 0.0054,0.2683 ± 0.0093,—,—,—,9.76 ± 6.27
DAWN → ACDC,YOLOv11s,3,0.0828 ± 0.0206,0.1504 ± 0.0370,0.3696 ± 0.1301,0.1653 ± 0.0402,0.2279 ± 0.0625,291.86 ± 14.86
