model,training_dataset,testing_dataset,seed,class_id,class_name,ground_truth_object_count,mAP50_95,precision,recall,f1_score
YOLOv11s,DAWN,BDD100K,42,0,person,1963,0.07449810632275804,0.5616761833581325,0.17575140091696384,0.2677290033405086
YOLOv11s,DAWN,BDD100K,42,1,bicycle,138,0.004324670723766067,0.5815499696243585,0.014492753623188406,0.02828072586279398
YOLOv11s,DAWN,BDD100K,42,2,car,14573,0.2303871647851285,0.728685217268096,0.35908872572565703,0.48109747031406297
YOLOv11s,DAWN,BDD100K,42,3,motorcycle,40,0.00015151515151515152,0.0,0.0,0.0
YOLOv11s,DAWN,BDD100K,42,4,bus,265,0.034149476692274604,0.13365362359836408,0.12075471698113208,0.1268771727716221
YOLOv11s,DAWN,BDD100K,42,5,truck,754,0.04275692800796788,0.12090049223205637,0.20557029177718833,0.15225588739631743
