model,training_dataset,testing_dataset,seed,class_id,class_name,ground_truth_object_count,mAP50_95,precision,recall,f1_score
YOLOv11s,ACDC,BDD100K,42,0,person,1963,0.13196183798734257,0.6689491324706129,0.2532288989324766,0.3673851392873274
YOLOv11s,ACDC,BDD100K,42,1,bicycle,138,0.06762433799387538,0.22449539525140266,0.2246376811594203,0.22456651566723657
YOLOv11s,ACDC,BDD100K,42,2,car,14573,0.27550839078663625,0.7354472451488433,0.4508337336169629,0.5589981350855323
YOLOv11s,ACDC,BDD100K,42,3,motorcycle,40,0.044468278336332774,0.1365229267744887,0.2,0.1622747407827885
YOLOv11s,ACDC,BDD100K,42,4,bus,265,0.01564638565317618,0.0765870446101144,0.06037735849056604,0.06752299639138681
YOLOv11s,ACDC,BDD100K,42,5,truck,754,0.06263008707880034,0.45621160316161,0.11126733556575244,0.17890161580907724
