split,model,mAP50-95,mAP50,mAP75,Precision,Recall,F1-score,mAR100,FPS
global,YOLOv11s,0.3329239214285413,0.5211670032383942,0.3455456957176694,0.7650000386663572,0.44127638262489843,0.5596999883814187,,84.53231574908921
global,Faster R-CNN,0.4127980780552399,0.5963486407541871,0.44992414061060687,,,,,16.103002308931952
fog,YOLOv11s,0.4126636352338828,0.6276686829718906,0.42724751011554724,0.8583596913941158,0.546958445957601,0.6681577218212356,,85.13972188205233
fog,Faster R-CNN,0.5472437092089635,0.7540253451129051,0.5907400693384155,,,,,16.166122722716473
rain,YOLOv11s,0.3081403931462938,0.48356244866897474,0.31944689894216594,0.7661113800345182,0.4058056430787584,0.5305705350258861,,85.80468498057336
rain,Faster R-CNN,0.363071606523752,0.5262181553197531,0.39729551722305595,,,,,16.15737696666526
snow,YOLOv11s,0.3559817439453207,0.5598017190443728,0.3647993084376462,0.7242598610404571,0.46055670810484456,0.5630622424066168,,83.71534150513772
snow,Faster R-CNN,0.48886510368593833,0.6951031058760845,0.5272417684206996,,,,,16.15541896898378
