dataset,condition,mean_mAP50-95_across_models
DAWN,global,0.3858391885034832
DAWN,fog,0.38467347200168106
DAWN,rain,0.38449089976734485
DAWN,snow,0.47587464974689675
ACDC,global,0.3728609997418906
ACDC,fog,0.47995367222142316
ACDC,rain,0.33560599983502293
ACDC,snow,0.4224234238156295
