dataset,condition,YOLOv11s,Faster R-CNN,Faster_minus_YOLO
DAWN,global,0.3396287319883049,0.4320496450186615,0.0924209130303566
DAWN,fog,0.3846645751141019,0.3846823688892602,1.7793775158314595e-05
DAWN,rain,0.3572607295115205,0.4117210700231692,0.05446034051164872
DAWN,snow,0.4520038033502384,0.4997454961435551,0.04774169279331675
ACDC,global,0.3329239214285413,0.4127980780552399,0.07987415662669856
ACDC,fog,0.4126636352338828,0.5472437092089635,0.1345800739750807
ACDC,rain,0.3081403931462938,0.363071606523752,0.054931213377458155
ACDC,snow,0.3559817439453207,0.4888651036859383,0.13288335974061755
