dataset,condition,YOLOv11s,Faster R-CNN,YOLO_FPS_advantage,YOLO_FPS_ratio
DAWN,global,80.28485129652059,20.323206987598663,59.96164430892192,3.950402677368334
DAWN,fog,79.08614419353394,20.329152024556688,58.75699216897725,3.8902824917636254
DAWN,rain,81.5007170144219,20.227659342535908,61.27305767188599,4.029171919216447
DAWN,snow,80.2676926816059,20.4128095957034,59.85488308590249,3.9322216917411055
ACDC,global,84.53231574908921,16.103002308931952,68.42931344015726,5.249475478383379
ACDC,fog,85.13972188205233,16.166122722716473,68.97359915933586,5.266551747897772
ACDC,rain,85.80468498057336,16.15737696666526,69.64730801390809,5.310557843491516
ACDC,snow,83.71534150513772,16.15541896898378,67.55992253615393,5.1818737518265445
