transfer_direction,model,seeds,mAP50-95,mAP50,Precision,Recall,F1-score,FPS
ACDC → DAWN,Faster R-CNN,3,0.2589 ± 0.0038,0.3813 ± 0.0037,—,—,—,20.82 ± 0.51
ACDC → DAWN,YOLOv11s,3,0.1135 ± 0.0167,0.1877 ± 0.0194,0.4226 ± 0.0977,0.1659 ± 0.0247,0.2345 ± 0.0174,216.45 ± 86.88
DAWN → ACDC,Faster R-CNN,3,0.1555 ± 0.0054,0.2683 ± 0.0093,—,—,—,9.76 ± 6.27
DAWN → ACDC,YOLOv11s,3,0.0828 ± 0.0206,0.1504 ± 0.0370,0.3696 ± 0.1301,0.1653 ± 0.0402,0.2279 ± 0.0625,291.86 ± 14.86
