transfer_direction,model,source_in_domain_mAP50-95,cross_dataset_mAP50-95_mean,absolute_drop,relative_drop_percent
ACDC → DAWN,Faster R-CNN,0.4127980780552399,0.2589170813966373,0.15388099665860255,37.27754678111909
ACDC → DAWN,YOLOv11s,0.3329239214285413,0.11347044484445623,0.2194534765840851,65.91700459445312
DAWN → ACDC,Faster R-CNN,0.4678886240800453,0.15553831876018165,0.31235030531986363,66.75740534064096
