transfer_direction,model,mean_mAP50_95,std_mAP50_95,min_mAP50_95,max_mAP50_95,range_mAP50_95
ACDC → DAWN,Faster R-CNN,0.2589170813966373,0.0037818955588408668,0.2545904665070368,0.2615932598932581,0.007002793386221284
ACDC → DAWN,YOLOv11s,0.11347044484445623,0.01667500837069121,0.0956807669643949,0.1287450506184209,0.033064283654026
DAWN → ACDC,Faster R-CNN,0.15553831876018165,0.0053518848074320426,0.1505961620566373,0.1612224931780917,0.010626331121454391
DAWN → ACDC,YOLOv11s,0.08283676728713493,0.020553517377750425,0.0708652517212725,0.1065696146311667,0.03570436290989419
