transfer_direction,Faster R-CNN,YOLOv11s,Faster_R-CNN_minus_YOLO
ACDC → DAWN,0.2589170813966373,0.11347044484445623,0.1454466365521811
DAWN → ACDC,0.15553831876018165,0.08283676728713493,0.07270155147304672
