transfer_direction,model,seeds,mAP50_95_mean,mAP50_95_std,mAP50_mean,mAP50_std,mAP75_mean,mAP75_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Inference_ms_mean,Inference_ms_std,FPS_mean,FPS_std
ACDC → DAWN,Faster R-CNN,3,0.2589170813966373,0.0037818955588408668,0.381258823818782,0.0036968700987279383,0.2801967177711991,0.003457737422254963,,,,,,,48.04203111666755,1.169995787916926,20.823457590506134,0.5143576517383991
ACDC → DAWN,YOLOv11s,3,0.11347044484445623,0.01667500837069121,0.18766742092015623,0.01938295485131158,0.1186073875449787,0.034022687322824326,0.422563001476373,0.09769621236484903,0.1659058174520677,0.024679286059079653,0.23452020984124636,0.017406970837297666,3.054855542858972,2.80518930471387,216.44793122561842,86.88300691203801
DAWN → ACDC,Faster R-CNN,3,0.15553831876018165,0.0053518848074320426,0.2683476918559093,0.009316934966721082,0.1589467850577798,0.006717587848034522,,,,,,,128.14402446111282,60.07765257533317,9.761241962776888,6.265521208384744
DAWN → ACDC,YOLOv11s,3,0.08283676728713493,0.020553517377750425,0.15037372422538262,0.03697551580741521,0.07907829426426523,0.017985996277420462,0.36960626234781985,0.13014853863049444,0.16526574051169998,0.04023705464572179,0.22788444492124216,0.06248912442569761,1.6689570820984152,0.14833132304535712,291.85765309076555,14.86064148747021
