dataset,model,seed,mAP50-95,mAP50,mAP75,Precision,Recall,F1-score,Inference_ms_per_image,FPS
ACDC,Faster R-CNN,42,0.4127980780552399,0.5963486407541871,0.4499241406106068,,,,62.10022086659726,16.103002308931952
ACDC,YOLOv11s,42,0.3329239214285413,0.5211670032383942,0.3455456957176694,0.7650000386663572,0.4412763826248984,0.5596999883814187,11.82979540000091,84.53231574908921
DAWN,Faster R-CNN,42,0.4678886240800453,0.7094693819504821,0.5521383184533495,,,,48.683631941680176,20.541393794611423
DAWN,YOLOv11s,42,0.3396287319883049,0.5812452930219402,,0.5776077486323775,0.5927543844416351,0.5850830538920928,12.453300124533001,80.3
