split,model,mAP50-95,mAP50,mAP75,Precision,Recall,mAR100,FPS
global,YOLOv11s,0.3396287319883049,0.5812452930219402,,0.5776077486323775,0.5927543844416351,,80.28485129652059
global,Faster R-CNN,0.43204964501866155,0.6553286925130851,0.5067318878089618,,,,20.323206987598663
fog,YOLOv11s,0.3846645751141019,0.6152619734360698,,0.8054512859364454,0.5621335015027892,,79.08614419353394
fog,Faster R-CNN,0.3846823688892602,0.59974178308945,0.47565414860467714,,,,20.329152024556688
rain,YOLOv11s,0.3572607295115205,0.5429430571864977,,0.6182433491817393,0.5737429511278196,,81.5007170144219
rain,Faster R-CNN,0.4117210700231692,0.6130881032439947,0.4660443130604077,,,,20.227659342535908
snow,YOLOv11s,0.4520038033502384,0.6822179184938334,,0.7550325595926238,0.6028949924924568,,80.2676926816059
snow,Faster R-CNN,0.4997454961435551,0.753156191205811,0.5784972017618009,,,,20.4128095957034
