Dataset,Model,Best condition,Best mAP@0.50:0.95,Worst condition,Worst mAP@0.50:0.95,Performance range
ACDC,Faster R-CNN,Fog,0.5472437092089635,Rain,0.363071606523752,0.1841721026852115
ACDC,YOLOv11s,Fog,0.4126636352338828,Rain,0.3081403931462938,0.10452324208758895
DAWN,Faster R-CNN,Rain,0.5159682941787563,Fog,0.4152942862772976,0.10067400790145875
DAWN,YOLOv11s,Snow,0.4520038033502384,Rain,0.3572607295115205,0.09474307383871788
