Dataset,Model,Fog,Rain,Snow
ACDC,Faster R-CNN,0.5472437092089635,0.363071606523752,0.4888651036859383
ACDC,YOLOv11s,0.4126636352338828,0.3081403931462938,0.3559817439453207
DAWN,Faster R-CNN,0.4152942862772976,0.5159682941787563,0.4724032917840819
DAWN,YOLOv11s,0.3846645751141019,0.3572607295115205,0.4520038033502384
