Dataset,Condition,YOLOv11s,Faster R-CNN,Absolute difference,Better model
ACDC,Fog,0.4126636352338828,0.5472437092089635,0.1345800739750807,Faster R-CNN
ACDC,Rain,0.3081403931462938,0.363071606523752,0.054931213377458155,Faster R-CNN
ACDC,Snow,0.3559817439453207,0.4888651036859383,0.13288335974061755,Faster R-CNN
DAWN,Fog,0.3846645751141019,0.4152942862772976,0.030629711163195683,Faster R-CNN
DAWN,Rain,0.3572607295115205,0.5159682941787563,0.15870756466723585,Faster R-CNN
DAWN,Snow,0.4520038033502384,0.4724032917840819,0.020399488433843538,Faster R-CNN
